OID_;FREQUENCY;COUNT_typzast_p;NewField;EXTRA;INTRA
1;210;210;areál hradu (zřícenin);44200;44200
2;831;831;areál zámku;44200;44200
3;90;90;archeologické naleziště;44200;44200
4;311;311;auto-moto-cyklo areál;44200;44200
5;367;367;autobusové nádraží;44100;44200
6;86;86;botanická zahrada;44200;44200
7;688;688;camping;44300;44300
8;1991;1991;čerpací stanice pohonných hmot;44100;44200
9;3692;3692;čistírna odpadních vod;44200;44200
10;1135;1135;další zdravotní a sociální zařízení;44200;44200
11;206;206;depo;44200;44200
12;108;108;dostihový areál, parkur;44200;44200
13;2391;2391;dřevozpracující a papírenský průmysl;44100;44200
14;238;238;golfový areál;44200;44200
15;118;118;hasičská stanice, zbrojnice;44100;44200
16;12;12;hlubinná těžba;44200;44200
17;6898;6898;hřiště;44200;44300
18;93;93;hutnický průmysl;44100;44200
19;19;19;hvězdárna;44200;44200
20;2762;2762;chatová kolonie;44200;44300
21;408;408;chemický průmysl;44100;44100
22;7011;7011;chov hospodářských zvířat;44200;44200
23;174;174;kasárny a vojenské objekty;44200;44200
24;120;120;klášter;44200;44200
25;23;23;kostel;44100;44100
26;689;689;koupaliště;44100;44200
27;68;68;kulturní objekt ostatní;44100;44200
28;510;510;kynologické cvičiště;44200;44300
29;216;216;letní scéna;44200;44200
30;46;46;meteorologická stanice;44200;44300
31;100;100;muzeum;44100;44200
32;166;166;nemocnice;44200;44200
33;2726;2726;ostatní, nerozlišený průmysl;44100;44200
34;48;48;plavecký areál;44100;44200
35;129;129;plochy pro SLZ;44200;44200
36;54;54;policejní areál;44200;44200
37;108;108;polygrafický průmysl;44100;44200
38;802;802;potravinářský průmysl;44100;44200
39;1005;1005;průmysl skla, keramiky a staveb. hmot;44100;44200
40;39;39;přístav;44100;44200
41;1133;1133;rekreační zástavba;44200;44200
42;66;66;skanzen;44200;44200
43;4561;4561;sklad, hangár;44100;44100
44;259;259;skleníkové pěstování plodin;44100;44100
45;2874;2874;skupinové garáže;44100;44200
46;530;530;sportovní areál;44200;44200
47;343;343;stadión;44100;44200
48;2780;2780;strojírenský průmysl;44100;44200
49;557;557;střelnice;44200;44200
50;9620;9620;škola;44200;44200
51;170;170;školské zařízení;44200;44200
52;2244;2244;technické služby;44100;44200
53;267;267;textilní, oděvní a kožedělný průmysl;44100;44200
54;482;482;úpravna vody;44200;44200
55;40;40;věznice;44100;44200
56;6803;6803;vodojem zemní;44100;44200
57;290;290;vysílač;44100;44200
58;13;13;výstaviště;44100;44200
59;69;69;zábavní park;44100;44200
60;2476;2476;zahrádkářská osada;44200;44300
61;4621;4621;zemědělský areál ostatní;44200;44200
62;63;63;zoo, safari;44200;44200
